uic,unit,mcn,act_take_cd,ref_loc_use,ddsn,awp_fg,ref_symb,fail_part_fg,fail_cage,fail_part_no,mal_dscrptn_cd,ty_itm_ind,matl_index,repl_reqd_fg,ovrd_cgpn_fg,ti_crit_fg,ti_maf_fg,proj_cd,scnd_adv_cd,cannib_fg,actl_rcpt_dttm,fail_qty,xref_ind,iss_pri_dsg,ord_dttm,ti_mcn,reqd_cage,reqd_part_no,ovrd_reqd_cgpn_fg,end_itm_rep_fg,reord_xref_ind,ord_otcpn_fg
00246,AIMD NAS NORTH ISLAN,00JPONB,R,"A1-860QA-410-000, WP 005, PG 9, IT 3",4172BD05,N,ORING,Y,99932,295454-2,070,C,H,Y,N,N,N,BK1, ,N,2024-06-21 12:02:00,1,2,06,2024-06-20 13:37:37.416000, ,99932,295454-2,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPONB, ,"A1-860QA-410-000, PG 9, IT 20",4172BD06,N,ORING,N,99932,295454-1, ,C, ,Y,N,N,N,BK1, ,N,2024-06-21 12:04:00,1,3,06,2024-06-20 13:37:43.036000, ,99932,295454-1,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPONB,R,A1-860QA-410-000 WP 005 00 PG 10 IT 24,4172BD07,N,HOUSING,Y,99932,295402,956,R,I,Y,N,Y,T,BK1, ,N,2024-06-20 13:45:00,1,4,06,2024-06-20 13:37:50.923000,P9A291X,99932,295402,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPONB,R,A1-860QA-410-000 WP 5 PG 9 IT 15 SPLINE,4206BD03,N,SPLINE,Y,99932,4101-103-001,450,C,J,Y,N,N,N,BK1, ,N,2024-12-23 12:36:00,1,5,06,2024-07-24 21:23:32.533000, ,99932,4101-103-001,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPONB,T,"A1-860QA-410-000, 005, PG 09, ITEM 11",4285GW02,Y,BRUSH,N,99932,295414,814,C,K,Y,N,N,N,ZC8, ,N,2024-10-30 08:47:00,1,6,02,1900-01-01 00:00:00, ,99932,295414,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPONB,None,A1-860QA-410-000 PG 9 WP 5 IT 20 ORING,4323BD03,N,ORING,N,99932,295454-1,None,C, ,Y,N,N,N,BK1, ,N,2024-11-18 20:20:00,1,7,06,2024-11-18 19:28:51.566000, ,99932,295454-1,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPONB,None,"A1-860QA-410-000, WP 005, PG 9, ITEM 3",4323BD04,N,O-RING,N,99932,295454-2,None,C, ,Y,N,N,N,BK1, ,N,2024-11-18 20:25:00,1,8,06,2024-11-18 19:28:55.376000, ,99932,295454-2,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPONB,None,"A1-860QA-410-000, WP 005, PG 10, IT 23",4365BD01,N,BEARING,N,78118,3TKRZZ10-17P,None,C, ,Y,N,N,N,BK1, ,N,1900-01-01 00:00:00,1,9,06,2024-12-30 12:08:26.103000, ,78118,3TKRZZ10-17P,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70C,N,BOLT,N,99207,J643P10A,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:43:42.603000,1,2,03,2024-12-09 08:58:30.393000, ,99207,J643P10A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70D,N,BOLT,N,99207,J643P20A,None,C, ,Y,N,N,N,ZQ9, ,N,1900-01-01 00:00:00,1,3,03,2024-12-09 08:58:31.956000, ,99207,J643P20A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B702,N,NUT,N,99207,4046T32P01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:41:01.463000,1,4,03,2024-12-09 08:58:17.233000, ,99207,4046T32P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70F,N,NUT,N,99207,4046T32P01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:43:57.583000,1,5,03,2024-12-09 08:58:34.176000, ,99207,4046T32P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70G,N,NUT,N,99207,4076T14P01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-10 06:51:00,1,6,03,2024-12-09 08:58:35.330000, ,99207,4076T14P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70H,N,SEAL,N,99207,4068T87P04,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-16 08:50:00,1,7,03,2024-12-09 08:58:36.456000, ,99207,4068T87P04,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B714,N,SEA;,N,99207,4091T12P02,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-16 08:25:00,1,8,03,2024-12-09 08:59:24.826000, ,99207,4091T12P02,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B716,N,NUR,N,99207,R1180P005B,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-16 10:49:00,1,9,03,2024-12-09 08:59:27.520000, ,99207,R1180P005B,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B719,N,SEAL,N,81343,AS3209-015,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 13:51:55.170000,1,10,03,2024-12-09 08:59:31.926000, ,81343,AS3209-015,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70N,N,SEAL,N,81343,AS3209-114,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-19 08:40:00,1,11,03,2024-12-09 08:58:48.590000, ,81343,AS3209-114,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B709,N,SEAL,N,81343,AS3209-144,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:43:18.986000,1,12,03,2024-12-09 08:58:26.840000, ,81343,AS3209-144,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70M,N,SEAL,N,81343,AS3209-110,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:38:11.680000,1,13,03,2024-12-09 08:58:47.216000, ,81343,AS3209-110,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70L,N,NUTS,N,99207,4042T93P01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:45:00.986000,1,14,03,2024-12-09 08:58:45.856000, ,99207,4042T93P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70R,N,SEAL,N,26647,AS3209-030,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:46:10.850000,1,15,03,2024-12-09 08:58:56.456000, ,26647,AS3209-030,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70S,N,GASKET,N,99207,4069T01G01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:47:22.073000,1,16,03,2024-12-09 08:58:57.856000, ,99207,4069T01G01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70T,N,SEAL,N,81343,AS3209-012,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:38:18.400000,1,17,03,2024-12-09 08:58:59.226000, ,81343,AS3209-012,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70U,N,SEAL,N,07482,J228P226,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:46:55.720000,1,18,03,2024-12-09 08:59:00.690000, ,07482,J228P226,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70V,N,SEAL,N,07482,J228P238,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:47:04.006000,1,19,03,2024-12-09 08:59:04.106000, ,07482,J228P238,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70W,N,SEAL,N,81343,AS3208-06,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:38:25.533000,1,20,03,2024-12-09 08:59:05.643000, ,81343,AS3208-06,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70X,N,SEAL,N,81343,AS3208-06,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:38:31.503000,1,21,03,2024-12-09 08:59:10.830000, ,81343,AS3208-06,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70Y,N,SEAL,N,81343,AS3208-06,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:38:36.053000,1,22,03,2024-12-09 08:59:11.976000, ,81343,AS3208-06,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70Z,N,SEAL,N,81343,AS3209-139,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 13:52:37.076000,1,23,03,2024-12-09 08:59:13.540000, ,81343,AS3209-139,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B710,N,SEAL,N,81343,AS3209-022,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:38:43.800000,1,24,03,2024-12-09 08:59:19.140000, ,81343,AS3209-022,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700AIPB-400,4344B711,N,SEAL,N,81343,AS3209-026,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:38:48.550000,1,25,03,2024-12-09 08:59:20.490000, ,81343,AS3209-026,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B712,N,SEAL,N,99207,3022T66P04,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-16 08:15:00,1,26,03,2024-12-09 08:59:22.123000, ,99207,3022T66P04,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B713,N,SEAL,N,81343,AS3209-011,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:38:55.040000,1,27,03,2024-12-09 08:59:23.530000, ,81343,AS3209-011,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B708,N,NUT,N,99207,R1186P002C,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 15:09:39.803000,1,28,03,2024-12-09 08:58:25.643000, ,99207,R1186P002C,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70K,N,IGNITER,N,99207,5044T67P13,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 13:52:22.483000,1,29,03,2024-12-09 08:58:44.333000, ,99207,5044T67P13,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B704,N,BUSHING,N,99207,4082T91P02,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:41:16.726000,1,30,03,2024-12-09 08:58:19.723000, ,99207,4082T91P02,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B705,N,BSEAL,N,99207,5034T70P04,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:41:21.186000,1,31,03,2024-12-09 08:58:21.743000, ,99207,5034T70P04,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70B,N,BRING,N,99207,4041T04P02,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:43:31.073000,1,32,03,2024-12-09 08:58:29.180000, ,99207,4041T04P02,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70Q,N,ESAEL,N,99207,5034T68P04,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:45:35.150000,1,33,03,2024-12-09 08:58:51.323000, ,99207,5034T68P04,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70E,N,ERING,N,99207,4041T18P02,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:43:51.423000,1,34,03,2024-12-09 08:58:33.050000, ,99207,4041T18P02,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B717,N,GKIT,N,99207,1932T08G03,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 13:48:24.156000,1,35,03,2024-12-09 08:59:28.846000, ,99207,1932T08G03,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B718,N,BRKET,N,99207,4051T00G05,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:47:02.823000,1,36,03,2024-12-09 08:59:30.570000, ,99207,4051T00G05,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B706,N,SEAL,N,81343,AS3208-12,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:36:07.903000,1,37,03,2024-12-09 08:58:23.060000, ,81343,AS3208-12,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70A,N,KIT,N,18350,AA-9718E-25KF1,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:43:25.576000,1,38,03,2024-12-09 08:58:28.040000, ,18350,AA-9718E-25KF1,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70P,N,SEAL,N,07482,J228P013,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:45:26.170000,1,39,03,2024-12-09 08:58:49.920000, ,07482,J228P013,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B707,N,SEAL,N,07482,J228P011,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:41:39.360000,1,40,03,2024-12-09 08:58:24.550000, ,07482,J228P011,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B70J,N,SEAL,N,07482,J221P030,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:44:21.070000,1,41,03,2024-12-09 08:58:37.660000, ,07482,J221P030,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B715,N,SEAL,N,07482,J221P021,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 13:48:10.463000,1,42,03,2024-12-09 08:59:26.186000, ,07482,J221P021,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B701,N,SEAL,N,07482,J221P020,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 14:35:39.903000,1,43,03,2024-12-09 08:58:15.916000, ,07482,J221P020,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4344B703,N,FLTER,N,18350,AC-9985F-30,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-09 10:41:11.720000,1,44,03,2024-12-09 08:58:18.443000, ,18350,AC-9985F-30,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B706,N,SWITCH,N,99207,4053T74P01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 14:00:00,1,45,03,2024-12-11 12:36:58.963000, ,99207,4053T74P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B708,N,PACKING,N,07482,J228P904,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 14:06:13.586000,1,46,03,2024-12-11 12:37:02.360000, ,07482,J228P904,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B707,N,NUTS,N,99207,4046T32P04,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 14:02:23.470000,1,47,03,2024-12-11 12:37:00.583000, ,99207,4046T32P04,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B704,N,BOLT,N,07482,J713P029A,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 12:55:00,1,48,03,2024-12-11 12:36:55.366000, ,07482,J713P029A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B709,N,LINK,N,99207,4053T11G01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 13:30:00,1,49,03,2024-12-11 12:37:03.576000, ,99207,4053T11G01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B705,N,BOOT,N,99207,4078T06P01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 13:20:00,1,50,03,2024-12-11 12:36:57.076000, ,99207,4078T06P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B703,N,NUTS,N,99207,R1186P002,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 14:02:15.863000,1,51,03,2024-12-11 12:36:53.640000, ,99207,R1186P002,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B70A,N,HOSE,N,99207,4082T90P01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 13:30:00,1,52,03,2024-12-11 13:02:28.776000, ,99207,4082T90P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B70D,N,BRACK,N,99207,5066T26G01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 13:30:00,1,53,03,2024-12-11 13:02:43.323000, ,99207,5066T26G01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B70B,N,BOLT,N,07482,J643P06A,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 14:53:35.286000,1,54,03,2024-12-11 13:02:33.420000, ,07482,J643P06A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-MMI-200,4346B70C,N,TUBE,N,99207,4082T89G01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-11 13:30:00,1,55,03,2024-12-11 13:02:37.323000, ,99207,4082T89G01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4358B70B,N,NUT,N,99207,4076T14P01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-03 09:00:00,1,56,03,2024-12-23 13:14:33.146000, ,99207,4076T14P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4358B70A,N,BOLT,N,07482,J643P20A,None,C, ,Y,N,N,N,ZQ9, ,N,1900-01-01 00:00:00,1,57,03,2024-12-23 13:14:30.690000, ,07482,J643P20A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4358B723,N,NUT,N,99207,4046T32P01,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-27 11:02:39.796000,1,58,03,2024-12-23 13:37:49.150000, ,99207,4046T32P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4358B722,N,BOLT,N,07482,J643P10A,None,C, ,Y,N,N,N,ZQ9, ,N,2024-12-27 11:06:57.253000,1,59,03,2024-12-23 13:37:47.040000, ,07482,J643P10A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,4358B724,N,BOLT,N,99207,J643P20A,None,C, ,Y,N,N,N,ZQ9, ,N,1900-01-01 00:00:00,1,60,03,2024-12-23 13:37:51.116000, ,99207,J643P20A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71H,N,NUT,N,99207,R1180P005,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-16 10:48:00,1,61,03,2025-01-07 12:23:28.563000, ,99207,R1180P005,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71E,N,SEAL,N,81343,AS3209-013,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-07 15:45:48.266000,1,62,03,2025-01-07 12:23:25.166000, ,81343,AS3209-013,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71C,N,SEAL,N,81343,AS3209-018,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-07 21:24:30.620000,1,63,03,2025-01-07 12:23:21.896000, ,81343,AS3209-018,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71F,N,SCREW,N,96906,MS24693-C1,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-10 07:00:00,1,64,03,2025-01-07 12:23:26.250000, ,96906,MS24693-C1,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71J,N,SEAL,N,07482,J228P013,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-07 15:45:21.696000,1,65,03,2025-01-07 12:23:29.653000, ,07482,J228P013,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71D,N,SEAL,N,07482,J228P041,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-07 22:29:09.386000,1,66,03,2025-01-07 12:23:23.776000, ,07482,J228P041,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71K,N,SEAL,N,81343,AS3209-139,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-07 21:24:36.333000,1,67,03,2025-01-07 12:23:31.053000, ,81343,AS3209-139,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71G,N,SEAL,N,81343,AS3209-011,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-07 21:27:16.643000,1,68,03,2025-01-07 12:23:27.400000, ,81343,AS3209-011,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71S,N,NUT,N,99207,R1186P002C,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-07 15:33:36.473000,1,69,03,2025-01-07 12:43:44.650000, ,99207,R1186P002C,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5007B71T,N,SEAL,N,99207,5034T70P04,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-07 15:21:48.526000,1,70,03,2025-01-07 12:43:46.740000, ,99207,5034T70P04,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70R,N,IGNITER,N,99207,5044T67P13,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-10 18:30:38.800000,1,71,03,2025-01-10 11:19:17.663000, ,99207,5044T67P13,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70S,N,ORING,N,99207,J221P026,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-10 18:30:40.410000,1,72,03,2025-01-10 11:19:19.936000, ,99207,J221P026,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70U,N,ORING,N,07482,J228P013,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-13 02:18:57.143000,1,73,03,2025-01-10 11:19:30.566000, ,07482,J228P013,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70T,N,ORING,N,07482,J228P011,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-13 02:18:55.790000,1,74,03,2025-01-10 11:19:22.393000, ,07482,J228P011,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70N,N,ORING,N,07482,J221P030,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-13 02:18:53.463000,1,75,03,2025-01-10 11:19:08.230000, ,07482,J221P030,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70P,N,ORING,N,07482,J221P020,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-10 18:30:08.890000,1,76,03,2025-01-10 11:19:10.206000, ,07482,J221P020,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70K,N,BOLT,N,07482,J643P04A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-13 02:18:50.433000,1,77,03,2025-01-10 11:19:01.710000, ,07482,J643P04A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70L,N,ORING,N,81343,AS3209-114,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-16 11:55:00,1,78,03,2025-01-10 11:19:03.980000, ,81343,AS3209-114,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70M,N,SEAL,N,99207,4069T01G01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-13 02:18:51.666000,1,79,03,2025-01-10 11:19:06.213000, ,99207,4069T01G01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPPTD,None,A1-T700A-IPB-400,5010B70Q,N,BUSH,N,99207,4082T91P02,None,C, ,Y,N,N,N,ZQ9, ,N,2025-01-13 02:18:54.646000,1,80,03,2025-01-10 11:19:14.893000, ,99207,4082T91P02,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPYP5,None,A1-488RA-MIB-000,4228BF01,N,RED CAP,N,F8294,44037313,None,C, ,Y,N,N,N,BK1, ,N,2024-08-16 11:07:00,1,2,06,2024-08-15 20:45:10.593000, ,F8294,44037313,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPYP5,None,A1-488RA-MIB-000 FIGURE 1 INDEX 114,4229BF01,N,None,N,94404,44040288AA01,None,R, ,Y,N,Y,T,BK1, ,N,2024-08-19 19:00:00,1,3,06,2024-08-16 19:36:33.593000,P9A2ESF,94404,44040288AA01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPYP5,None,01-1A-505-1 WP 14 02 PG 8,4248BF01,N,BOOT,N,06090,202K121-25-0,None,C, ,Y,Y,N,N,BK1, ,N,2024-09-05 06:00:00,1,4,06,2024-09-04 14:32:38.776000, ,06090,202K121-25-0,Y,N,0,N
00246,AIMD NAS NORTH ISLAN,00JPYP5,None,A1-488RA-MIB-000 WP 05 FIG 1 INDX 125,4261BF01,N,2W1,N,F8294,44040291AA,None,R, ,Y,N,Y,T,BK1, ,N,2024-10-02 11:46:05.026000,1,5,06,2024-09-17 15:09:15.806000,P9A2J54,F8294,44040291AA,N,N,0,N
